"","key","clid","cl_label"
"336","pigment cell (sensu vertebrata)","CL:0000342","pigment cell (sensu Vertebrata)"
"337","visual pigment cell (sensu vertebrata)","CL:0000343","visual pigment cell (sensu Vertebrata)"
"338","obsolete non-visual cell (sensu vertebrata)","CL:0000344","obsolete non-visual cell (sensu Vertebrata)"
"339","dental papilla cell","CL:0000345","dental papilla cell"
"340","hair follicle dermal papilla cell","CL:0000346","hair follicle dermal papilla cell"
"341","scleral cell","CL:0000347","scleral cell"
"342","choroidal cell of the eye","CL:0000348","choroidal cell of the eye"
"343","extraembryonic cell","CL:0000349","extraembryonic cell"
"344","amnioserosal cell","CL:0000350","amnioserosal cell"
"345","trophoblast cell","CL:0000351","trophoblast cell"
"346","epiblast cell","CL:0000352","epiblast cell"
"347","blastoderm cell","CL:0000353","blastoderm cell"
"348","blastemal cell","CL:0000354","blastemal cell"
"349","multi-potent skeletal muscle stem cell","CL:0000355","multi-potent skeletal muscle stem cell"
"350","hair matrix stem cell","CL:0000356","hair matrix stem cell"
"351","stratified epithelial stem cell","CL:0000357","stratified epithelial stem cell"
"352","sphincter associated smooth muscle cell","CL:0000358","sphincter associated smooth muscle cell"
"353","vascular associated smooth muscle cell","CL:0000359","vascular associated smooth muscle cell"
"354","morula cell","CL:0000360","morula cell"
"355","gastrula cell","CL:0000361","gastrula cell"
"356","epidermal cell","CL:0000362","epidermal cell"
"357","obsolete axial cell","CL:0000363","obsolete axial cell"
"358","obsolete ray cell","CL:0000364","obsolete ray cell"
"359","animal zygote","CL:0000365","animal zygote"
"360","obsolete sperm cell (sensu viridiplantae)","CL:0000366","obsolete sperm cell (sensu Viridiplantae)"
"361","sheath cell (sensu nematoda)","CL:0000367","sheath cell (sensu Nematoda)"
"362","obsolete myrosin cell","CL:0000368","obsolete myrosin cell"
"363","obsolete transfer cell","CL:0000370","obsolete transfer cell"
"364","protoplast","CL:0000371","protoplast"
"365","tormogen cell","CL:0000372","tormogen cell"
"366","histoblast","CL:0000373","histoblast"
"367","trichogen cell","CL:0000374","trichogen cell"
"368","obsolete osteoprogenitor cell","CL:0000375","obsolete osteoprogenitor cell"
"369","humidity receptor cell","CL:0000376","humidity receptor cell"
"370","tracheoblast","CL:0000377","tracheoblast"
"371","supporting cell (sensu nematoda and protostomia)","CL:0000378","supporting cell (sensu Nematoda and Protostomia)"
"372","sensory processing neuron","CL:0000379","sensory processing neuron"
"373","thecogen cell","CL:0000380","thecogen cell"
"374","obsolete neurosecretory neuron","CL:0000381","obsolete neurosecretory neuron"
"375","scolopale cell","CL:0000382","scolopale cell"
"376","nephrogenic mesenchyme stem cell","CL:0000383","nephrogenic mesenchyme stem cell"
"377","ligament cell","CL:0000384","ligament cell"
"378","prohemocyte (sensu nematoda and protostomia)","CL:0000385","prohemocyte (sensu Nematoda and Protostomia)"
"379","obsolete attachment cell","CL:0000386","obsolete attachment cell"
"380","hemocyte (sensu arthropoda)","CL:0000387","hemocyte (sensu Arthropoda)"
"381","tendon cell","CL:0000388","tendon cell"
"382","socket cell (sensu nematoda)","CL:0000389","socket cell (sensu Nematoda)"
"383","blood cell (sensu nematoda and protostomia)","CL:0000390","blood cell (sensu Nematoda and Protostomia)"
"384","obsolete podocyte (sensu diptera)","CL:0000391","obsolete podocyte (sensu Diptera)"
"385","crystal cell","CL:0000392","crystal cell"
"386","electrically responsive cell","CL:0000393","electrically responsive cell"
"387","plasmatocyte","CL:0000394","plasmatocyte"
"388","procrystal cell","CL:0000395","procrystal cell"
"389","lamellocyte","CL:0000396","lamellocyte"
"390","ganglion interneuron","CL:0000397","ganglion interneuron"
"391","obsolete polygonal cell","CL:0000398","obsolete polygonal cell"
"392","obsolete phloem element","CL:0000399","obsolete phloem element"
"393","obsolete pavement cell","CL:0000400","obsolete pavement cell"
"394","obsolete macrophage (sensu diptera)","CL:0000401","obsolete macrophage (sensu Diptera)"
"395","obsolete cns interneuron","CL:0000402","obsolete CNS interneuron"
"396","electrically signaling cell","CL:0000404","electrically signaling cell"
"397","obsolete neuroepidermoblast","CL:0000405","obsolete neuroepidermoblast"
"398","cns short range interneuron","CL:0000406","CNS short range interneuron"
"399","scolopidial ligament cell","CL:0000407","scolopidial ligament cell"
"400","male gamete","CL:0000408","male gamete"
"401","obsolete scolopidial sheath cell","CL:0000409","obsolete scolopidial sheath cell"
"402","cns long range interneuron","CL:0000410","CNS long range interneuron"
"403","caenorhabditis hypodermal cell","CL:0000411","Caenorhabditis hypodermal cell"
"404","polyploid cell","CL:0000412","polyploid cell"
"405","haploid cell","CL:0000413","haploid cell"
"406","obsolete cell by ploidy","CL:0000414","obsolete cell by ploidy"
"407","diploid cell","CL:0000415","diploid cell"
"408","polytene cell","CL:0000416","polytene cell"
"409","endopolyploid cell","CL:0000417","endopolyploid cell"
"410","arcade cell","CL:0000418","arcade cell"
"411","seam cell","CL:0000419","seam cell"
"412","syncytial epithelial cell","CL:0000420","syncytial epithelial cell"
"413","coelomocyte","CL:0000421","coelomocyte"
"414","mitogenic signaling cell","CL:0000422","mitogenic signaling cell"
"415","tip cell","CL:0000423","tip cell"
"416","excretory cell","CL:0000424","excretory cell"
"417","pore cell","CL:0000425","pore cell"
"418","obsolete scaffold cell","CL:0000426","obsolete scaffold cell"
"419","glr cell","CL:0000427","GLR cell"
"420","yolk cell","CL:0000428","yolk cell"
"421","imaginal disc cell","CL:0000429","imaginal disc cell"
"422","xanthophore cell","CL:0000430","xanthophore cell"
"423","iridophore","CL:0000431","iridophore"
"424","reticular cell","CL:0000432","reticular cell"
"425","obsolete functional megaspore","CL:0000433","obsolete functional megaspore"
"426","eccrine cell","CL:0000434","eccrine cell"
"427","alkali secreting cell","CL:0000435","alkali secreting cell"
"428","vaginal lubricant secreting cell","CL:0000436","vaginal lubricant secreting cell"
"429","gonadtroph","CL:0000437","gonadtroph"
"430","luteinizing hormone secreting cell","CL:0000438","luteinizing hormone secreting cell"
"431","prolactin secreting cell","CL:0000439","prolactin secreting cell"
"432","melanocyte stimulating hormone secreting cell","CL:0000440","melanocyte stimulating hormone secreting cell"
"433","follicle stem cell (sensu arthropoda)","CL:0000441","follicle stem cell (sensu Arthropoda)"
"434","follicular dendritic cell","CL:0000442","follicular dendritic cell"
"435","calcitonin secreting cell","CL:0000443","calcitonin secreting cell"
"436","obliquely striated muscle cell","CL:0000444","obliquely striated muscle cell"
"437","apoptosis fated cell","CL:0000445","apoptosis fated cell"
"438","chief cell of parathyroid gland","CL:0000446","chief cell of parathyroid gland"
"439","carbohydrate secreting cell","CL:0000447","carbohydrate secreting cell"
"440","white adipocyte","CL:0000448","white adipocyte"
"441","brown adipocyte","CL:0000449","brown adipocyte"
"442","dendritic cell","CL:0000451","dendritic cell"
"443","thyroid hormone secreting cell","CL:0000452","thyroid hormone secreting cell"
"444","langerhans cell","CL:0000453","Langerhans cell"
"445","epinephrine secreting cell","CL:0000454","epinephrine secreting cell"
"446","obsolete starch sheath cell","CL:0000455","obsolete starch sheath cell"
"447","mineralocorticoid secreting cell","CL:0000456","mineralocorticoid secreting cell"
"448","biogenic amine secreting cell","CL:0000457","biogenic amine secreting cell"
"449","serotonin secreting cell","CL:0000458","serotonin secreting cell"
